index,업태구분명,사업장명,소재지전체주소,좌표정보(x),좌표정보(y),인허가일자,시설총규모
7497,기타,밥묵자고기묵자,강원특별자치도 춘천시 소양로4가 109-5,263373.614138306,486218.319176021,2023-08-30,21.6
7498,기타,훈연고기,강원특별자치도 춘천시 후평동 684-14,265412.570321582,486713.502307113,2023-08-03,28.2
7499,기타,페페버거,강원특별자치도 춘천시 운교동 185-5,264489.332995749,486490.811604619,2023-08-16,22.0
7500,기타,명륜진사갈비거두사거리점,강원특별자치도 춘천시 동내면 거두리 912-1,265991.760190116,483967.295352357,2023-08-16,367.98
7501,기타,백돈춘천점,강원특별자치도 춘천시 석사동 654-19,265066.369548364,484351.331740234,2023-08-16,86.13
7502,기타,카쿠레가춘천점,강원특별자치도 춘천시 조양동 37-1,264033.740910187,486636.429290749,2023-09-08,91.31
7503,경양식,트리트(Treat),강원특별자치도 춘천시 칠전동 551-5,262716.425644934,482498.802546024,2023-07-26,39.2
7504,기타,치킨포차,강원특별자치도 춘천시 후평동 867 대우아파트,266743.003648696,486217.237897675,2023-09-08,17.6
7505,기타,분식집에하숙하는붕어빵,강원특별자치도 춘천시 교동 136-7,264549.733211917,486789.419247184,2023-09-08,28.06
7506,식육(숯불구이),동신 냉삼집,강원특별자치도 춘천시 교동 152-1,264882.586431786,487031.525859865,2023-08-31,156.38
7507,분식,김밥과친구들2호점,강원특별자치도 춘천시 후평동 692-1,265578.883145319,486729.610944238,2023-07-04,42.16
7508,기타,팔광포차,강원특별자치도 춘천시 운교동 188-3,264578.672777051,486400.784795056,2023-08-08,59.29
7509,호프/통닭,기영이 숯불두마리치킨 춘천퇴계점,강원특별자치도 춘천시 퇴계동 1036-2 퇴계8단지주공아파트상가,265553.790128403,483137.269282193,2023-08-02,31.5
7510,기타,퍼펙트푸드,강원특별자치도 춘천시 후평동 705-4,265650.725658328,486964.609557611,2023-08-21,80.88
7511,기타,산수리폭포가든,강원특별자치도 춘천시 남산면 산수리 195,258267.125271996,468179.3552102,2023-08-21,132.88
7512,기타,그린닭갈비,강원특별자치도 춘천시 신동면 증리 903-2,263256.070408366,479735.713805008,2023-08-28,112.5
7513,기타,인생건어물맥주공지천점,강원특별자치도 춘천시 삼천동 13-1,262155.339956187,485796.818762133,2023-08-28,88.0
7514,기타,제이,강원특별자치도 춘천시 후평동 711-24,265507.865990489,487215.708488289,2023-08-28,101.06
7515,기타,그대별처럼,강원특별자치도 춘천시 남면 가정리 887-1,250857.104356417,470164.735987016,2023-08-28,109.05
7516,기타,위찜우두점,강원특별자치도 춘천시 우두동 1111-7,264763.089025223,489718.988052379,2023-08-28,72.07
7517,기타,진가네왕족발,강원특별자치도 춘천시 운교동 177-6,264415.803224725,486059.45081097,2023-08-07,32.75
7518,중국식,야미마라탕,강원특별자치도 춘천시 석사동 885-3,265515.316122155,483566.14122817,2023-08-09,96.0
7519,호프/통닭,오늘통닭춘천우두점,강원특별자치도 춘천시 우두동 1117-3,264368.048751443,489723.1564317,2023-08-09,91.12
7520,식육(숯불구이),왁자지껄뒷고기집,강원특별자치도 춘천시 후평동 798-7,266094.503172469,486260.338388073,2023-08-09,150.12
7521,기타,생삼겹구루요선점,강원특별자치도 춘천시 요선동 145,263953.459515772,487021.419362094,2023-08-01,80.34
7522,한식,곰소젓갈밥상,강원특별자치도 춘천시 효자동 590-48,263774.137776383,485420.331206248,2023-08-11,87.84
7523,기타,호앤호,강원특별자치도 춘천시 효자동 652-3,264641.750896295,486126.801938597,2023-08-11,112.0
7524,기타,미돈,강원특별자치도 춘천시 퇴계동 902-8,263691.863569111,484349.567057698,2023-08-01,47.49
7525,기타,넘버25호텔남춘천점,강원특별자치도 춘천시 효자동 305-46,264603.034819911,484958.358616652,2023-08-04,53.04
7526,기타,도니니1894본점,강원특별자치도 춘천시 퇴계동 1240 e편한세상 춘천 한숲시티,264260.591704341,483777.59503768,2023-08-04,88.0
7527,기타,더도시락,강원특별자치도 춘천시 후평동 873-1,266656.016896446,486282.600764115,2023-08-04,46.0
7528,기타,별미분식,강원특별자치도 춘천시 요선동 18-2,263923.839491295,486755.236570881,2023-08-04,35.7
7529,한식,라스트춘선춘천점,강원특별자치도 춘천시 후평동 801-5,266178.679888492,486262.147721133,2023-08-04,122.43
7530,기타,팔호냉삼집거두리점,강원특별자치도 춘천시 동내면 거두리 954-5,266253.02,483586.885,2023-06-30,111.83
7531,기타,한양마차,강원특별자치도 춘천시 근화동 722-4,262957.221282804,486059.720016585,2023-06-30,58.5
7532,한식,조부자매운순대가춘천점,강원특별자치도 춘천시 퇴계동 471-10,264428.421999662,483272.16466429,2023-08-14,222.85
7533,중국식,바오바오양꼬치앤훠궈,강원특별자치도 춘천시 동내면 거두리 1090-3,266422.975998126,483807.519605644,2023-08-14,264.88
7534,기타,피시프레시,강원특별자치도 춘천시 석사동 818-13,265591.722398029,483924.525809904,2023-07-06,200.83
7535,기타,콘스델리김유정역점,강원특별자치도 춘천시 신동면 증리 370-1,262781.621543878,479571.303434834,2023-07-06,148.4
7536,기타,반게반게,강원특별자치도 춘천시 삼천동 38-1,262023.241396906,485289.06979184,2023-07-10,163.0
7537,기타,커피나인아이엠씨,강원특별자치도 춘천시 동면 장학리 139-165,268309.476924547,488066.314877237,2023-07-10,136.34
7538,기타,골목횟집,강원특별자치도 춘천시 후평동 725-10,265801.56822827,487080.656718226,2023-07-11,83.2
7539,기타,브라운돈까스모다아울렛춘천점,강원특별자치도 춘천시 온의동 601 춘천 센트럴타워 푸르지오,263345.431242431,485397.525389929,2023-07-18,60.66
7540,기타,소확행피자춘천광장점,강원특별자치도 춘천시 교동 126-18,264745.007921306,486433.51611328,2023-06-30,33.0
7541,한식,못생긴핫도그,강원특별자치도 춘천시 효자동 604-2,264821.957063974,486196.85952772,2023-06-30,26.25
7542,기타,도그도그,강원특별자치도 춘천시 우두동 1094-1,264903.489687746,490113.16589719,2023-07-27,107.38
7543,한식,베러인타임(better in time),강원특별자치도 춘천시 석사동 640-10,265366.611806744,484485.444161582,2023-07-27,82.88
7544,식육(숯불구이),명륜진사갈비춘천효자점,강원특별자치도 춘천시 효자동 655,264519.81300489,486204.177489443,2023-09-06,419.58
7545,기타,스지명당,강원특별자치도 춘천시 퇴계동 1192-8,263569.613425557,484924.662450293,2023-09-06,60.0
7546,기타,왕가탕후루 강원대점,강원특별자치도 춘천시 효자동 632,265472.593981029,485859.29016618,2023-09-11,20.0
7547,일식,사거리횟집,강원특별자치도 춘천시 온의동 65-44,262808.456357804,485405.244083934,2023-09-11,117.04
7548,기타,냉삼국민학교,강원특별자치도 춘천시 퇴계동 1003-5,265044.476323821,483285.325163182,2023-08-18,130.6
7549,기타,세이(Say),강원특별자치도 춘천시 석사동 309-8,265605.955704513,484106.098393476,2023-07-25,78.52
7550,한식,본죽엔비빔밥춘천우두택지점,강원특별자치도 춘천시 우두동 1094-1,264903.489687746,490113.16589719,2023-07-31,57.36
7551,기타,호텔앤화담,강원특별자치도 춘천시 효자동 651,264602.570816305,486034.827228068,2023-07-31,58.53
7552,기타,펀비어킹춘천한숲시티점,강원특별자치도 춘천시 퇴계동 1240 e편한세상 춘천 한숲시티,264260.591704341,483777.59503768,2023-08-22,84.0
7553,기타,회양포차,강원특별자치도 춘천시 퇴계동 370-8 투다리,264130.41920792,484743.459956482,2023-07-17,49.6
7554,기타,고도리찜닭,강원특별자치도 춘천시 퇴계동 1018,265346.955057411,483293.365700144,2023-07-17,8.64
7555,기타,보라시골,강원특별자치도 춘천시 서면 당림리 55-2,254582.913704273,484787.27558967,2023-07-13,109.76
7556,한식,더나인식당,강원특별자치도 춘천시 남산면 백양리 108-21,250481.954186584,478952.395721777,2023-07-13,25.48
7557,기타,예그리나,강원특별자치도 춘천시 퇴계동 1192-7,263585.643279847,484913.442053778,2023-07-20,103.53
7558,기타,젤리통통,강원특별자치도 춘천시 석사동 980,265760.750878195,484782.142992886,2023-07-20,300.0
7559,기타,무지개맥주,강원특별자치도 춘천시 석사동 744-2,266194.709033875,485031.367088722,2023-07-12,96.03
7560,기타,마선생마약국밥춘천시청점,강원특별자치도 춘천시 요선동 8-2,263981.039292433,486960.389744765,2023-07-12,74.0
7561,기타,명륜진사갈비춘천퇴계점,강원특별자치도 춘천시 퇴계동 523-23,,,2023-07-19,440.4
7562,기타,픽어푸드,강원특별자치도 춘천시 중도동 460 레고랜드 워터메이즈,261283.37742526,487277.678825048,2023-07-07,5.12
7563,기타,메이즈마켓,강원특별자치도 춘천시 중도동 460 레고랜드 워터메이즈,261283.37742526,487277.678825048,2023-07-07,12.48
7564,기타,픽어스낵,강원특별자치도 춘천시 중도동 460 레고랜드 워터메이즈,261283.37742526,487277.678825048,2023-07-07,5.12
7565,기타,피콜로,강원특별자치도 춘천시 석사동 186-36,265867.667983585,483179.844453666,2023-08-29,129.6
7566,기타,오늘엔,강원특별자치도 춘천시 동내면 고은리 33-18,269474.908830548,482828.918571368,2023-09-01,194.19
7567,기타,라라브레드춘천명동점,강원특별자치도 춘천시 중앙로2가 1,263969.798519834,486632.352933608,2023-07-21,157.16
7568,기타,제육한상,강원특별자치도 춘천시 사농동 115-9,263543.837042205,489714.090242525,2023-07-21,48.57
7569,기타,79대포춘천우두점,강원특별자치도 춘천시 우두동 1110,264798.07590442,489729.908453491,2023-07-21,50.46
7570,기타,마일스비치,강원특별자치도 춘천시 남산면 강촌리 243-1,255789.697109219,479137.606165498,2023-07-21,150.9
7571,식육(숯불구이),고기야,강원특별자치도 춘천시 온의동 65-42,262877.493333518,485370.954041102,2001-04-20,100.45
7572,기타,다인칼국수,강원특별자치도 춘천시 퇴계동 1169-2,264065.715101982,484700.420600402,2023-06-14,136.5
7573,기타,주식회사에이치앤씨푸드,강원특별자치도 춘천시 온의동 528,263438.836127474,484648.456475922,2023-06-15,89.55
7574,기타,빅스타피자춘천우두,강원특별자치도 춘천시 우두동 1115,264490.598384816,489683.525898883,2023-06-14,37.84
7575,기타,수작카츠엔드한스델리,강원특별자치도 춘천시 조양동 144-3,263907.525093906,486490.624417762,2023-06-22,194.08
7576,기타,편편집 춘천삼천점,강원특별자치도 춘천시 삼천동 152-1,261966.736365511,485371.792669402,2023-06-22,264.96
7577,기타,미사옥춘천엔타,강원특별자치도 춘천시 석사동 980,265760.750878195,484782.142992886,2023-06-27,116.66
7578,식육(숯불구이),한양고깃집춘천한숲시티점,강원특별자치도 춘천시 퇴계동 451-3,263984.133034046,483879.705391898,2023-06-27,168.0
7579,기타,해성장어구이,강원특별자치도 춘천시 남산면 강촌리 428-4,254405.906231514,477561.725457055,2023-06-12,171.75
7580,기타,찌웅이네숯불두마리치킨춘천점,강원특별자치도 춘천시 효자동 823 효자코아루웰라움,265188.475089266,484866.937944979,2023-06-12,43.76
7581,기타,컴포즈커피춘천장학점,강원특별자치도 춘천시 동면 장학리 996,266258.791751292,488298.745613064,2023-06-28,33.0
7582,한식,아이엠어바텐더(Im a Bartender),강원특별자치도 춘천시 효자동 655-2,264539.743486712,486193.949764962,2023-06-26,51.8
7583,호프/통닭,왕천파닭,강원특별자치도 춘천시 석사동 911-7,265919.264044468,483259.878348616,2023-06-13,89.22
7584,기타,냇가가든,강원특별자치도 춘천시 서면 오월리 197-8,256452.172407607,497560.259291081,2023-06-23,55.17
7585,식육(숯불구이),강촌찐해물칼국수,강원특별자치도 춘천시 남산면 방곡리 385,256107.64280213,478369.866706733,2002-12-17,192.39
7586,기타,명가호반닭갈비막국수(퇴계점),강원특별자치도 춘천시 퇴계동 1008-1,264971.98659537,483278.549842564,2003-07-28,113.44
7587,탕류(보신용),79네수육국밥춘천온의점,강원특별자치도 춘천시 온의동 73-3,262748.691381547,485332.65731103,2009-06-17,78.0
7588,한식,통큰두마리찜닭목포홍어찜,강원특별자치도 춘천시 퇴계동 873-11 (1층),263479.194212741,484775.394808878,2009-06-19,117.08
7589,식육(숯불구이),약사천가든,강원특별자치도 춘천시 약사동 26-10,263984.967487978,486154.252231087,2009-06-24,97.6
7590,한식,장군이네밥집,강원특별자치도 춘천시 우두동 1052-22 (1층),263959.562377499,488831.017987447,2009-06-24,70.12
7591,기타,병천순대국,강원특별자치도 춘천시 동내면 학곡리 600,266869.868879708,481725.148310978,2009-06-29,35.1
7592,한식,신닭발,강원특별자치도 춘천시 효자동 631-5,265537.777893012,485866.936628492,2003-08-28,79.3
7593,한식,온'S푸드,강원특별자치도 춘천시 효자동 20-11,265336.596640198,486063.376014913,2003-09-05,89.76
7594,식육(숯불구이),큰손숯불구이,강원특별자치도 춘천시 퇴계동 1153-2,263752.369713919,485124.942357604,2006-02-28,67.45
7595,한식,옛날순대국,강원특별자치도 춘천시 근화동 796-7 외 1필지,263551.175024633,488011.891414927,2006-03-03,34.6
7596,한식,해두리치킨후평점,강원특별자치도 춘천시 후평동 459,265985.072754372,486625.796874267,2006-03-09,50.23
7597,식육(숯불구이),대구참숯막창,강원특별자치도 춘천시 소양로1가 101-13,263739.485879292,488058.221283149,2006-12-27,49.6
7598,한식,토대력남부시장점(투다리남부시장점),강원특별자치도 춘천시 효자동 684-3,263739.07207605,485592.383840742,2006-12-27,76.05
